,Date,Time,Location,Operator,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Country,Regions,percent
2,08/06/1913,,"Victoria, British Columbia, Canada",Private,,Curtiss seaplane,,,1.0,1.0,0.0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.", Canada,Victoria,100.0
8,09/24/1916,01:00,"Billericay, England",Military - German Navy,,Zeppelin L-32 (airship),,,22.0,22.0,0.0,Shot down by British aircraft crashing in flames., England,Billericay,100.0
9,10/01/1916,23:45,"Potters Bar, England",Military - German Navy,,Zeppelin L-31 (airship),,,19.0,19.0,0.0,Shot down in flames by the British 39th Home Defence Squadron., England,Potters Bar,100.0
11,11/28/1916,23:45,"Off West Hartlepool, England",Military - German Navy,,Zeppelin L-34 (airship),,,20.0,20.0,0.0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea., England,Off West Hartlepool,100.0
17,10/20/1917,07:45,"Near Luneville, France",Military - German Navy,,Zeppelin L-44 (airship),,,18.0,18.0,0.0,Shot down by French anti-aircraft fire., France,Near Luneville,100.0
24,10/02/1919,,"Newcastle, England",Aircraft Transport and Travel,,De Havilland DH-4,,,1.0,1.0,0.0,, England,Newcastle,100.0
34,08/16/1920,,"Bedford, England",By Air,,Armstrong-Whitworth F-K-8,G-EALW,,1.0,1.0,0.0,, England,Bedford,100.0
39,10/02/1920,,"Off Port Vendres, France",Latecoere Airlines,,Salmson 2-A-2,F-ALAI,31,2.0,2.0,0.0,, France,Off Port Vendres,100.0
43,12/14/1920,,"Cricklewood, England",Handley Page Transport,,Handley Page HP-16,G-EAMA,HP-25,8.0,4.0,0.0,Crashed into a tree on take off in fog., England,Cricklewood,50.0
53,07/16/1921,,"San Francisco, California",US Aerial Mail Service,,De Havilland DH-4,222,,1.0,1.0,0.0,, California,San Francisco,100.0
54,08/14/1921,,"Toulouse, France",Aeropostale,,Breguet 14,F-ALBI,,2.0,2.0,0.0,, France,Toulouse,100.0
55,08/24/1921,17:40,"River Humber, England",Military - Royal Airship Works,,Royal Airship Works ZR-2 (airship),R-38,R-38,46.0,46.0,1.0,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design., England,River Humber,100.0
56,09/06/1921,,"Paris, France",Franco-Roumaine,Varsovie - Strasbourg - Paris,Potez IX,F-ADCD,160,5.0,5.0,0.0,Crashed while making an approach to Le Bourget Airport in Paris., France,Paris,100.0
58,01/14/1922,,"Paris, France",Handley Page Transport,,Handley Page O/10,G-EATN,HP-43,5.0,5.0,5.0,Crashed at Le Bourget field., France,Paris,100.0
60,04/07/1922,,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,7.0,7.0,0.0,"A midair collision occurred in poor visibility approximately 18 miles north of Beauvais, France. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.", France,Grandvilliers,100.0
61,04/08/1922,,"Pao Ting Fou, China",,,,,,17.0,17.0,0.0,All seventeen aboard were Chinese nationals., China,Pao Ting Fou,100.0
62,04/13/1922,,"Brooklands, England",Vickers,,Vickers Viking,G-EBBZ,,3.0,3.0,0.0,, England,Brooklands,100.0
64,06/03/1922,,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,,Bleriot Spad 27,F-CMAY,1254,3.0,3.0,0.0,, England,Off Folkestone,100.0
70,01/10/1923,,"Ajaccio, France",Amee de l'Air,,Lioré-et-Olivier H-13,F-AEIB,,4.0,3.0,0.0,, France,Ajaccio,75.0
